PARAMETERS: 
 
labelset: expert 
split: train 
lambda: 0.33 
k: 3 
fine-tune: True 
ft_max_epochs: 2 
 
 
CLS: 
 
Run 1: 
 
File: ./results/expert_cls_9.json 
 
F1: 0.8898178188170701 
 
              precision    recall  f1-score   support

         LOC       0.85      0.89      0.87      2239
O'Neal               I-PER                I-PER                I-PER                I-PER                
,                    O                    O                    O                    B-PER                
a                    O                    O                    O                    O                    
Towers               B-ORG                B-ORG                B-ORG                O                    
Perrin               I-ORG                I-ORG                I-ORG                O                    
principal            O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
"                    O                    O                    O                    O                    
The                  O                    O                    O                    O                    
good                 O                    O                    O                    O                    
news                 O                    O                    O                    O                    
is                   O                    O                    O                    O                    
,                    O                    O                    O                    O                    
if                   O                    O                    O                    O                    
you                  O                    O                    O                    O                    
're                  O                    O                    O                    O                    
highly               O                    O                    O                    O                    
skilled              O                    O                    O                    O                    
and                  O                    O                    O                    O                    
have                 O                    O                    O                    O                    
many                 O                    O                    O                    O                    
abilities            O                    O                    O                    O                    
,                    O                    O                    O                    O                    
you                  O                    O                    O                    O                    
'll                  O                    O                    O                    O                    
be                   O                    O                    O                    O                    
paid                 O                    O                    O                    O                    
more                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
said                 O                    O                    O                    O                    
O'Neal               B-PER                B-PER                B-PER                O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
After                O                    O                    O                    O                    
World                B-MISC               B-MISC               B-MISC               B-LOC                
War                  I-MISC               I-MISC               I-MISC               I-LOC                
II                   I-MISC               I-MISC               I-MISC               I-LOC                
,                    O                    O                    O                    O                    
corporations         O                    O                    O                    O                    
adopted              O                    O                    O                    O                    
a                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
military             O                    O                    O                    O                    
model                O                    O                    O                    O                    
"                    O                    O                    O                    O                    
creating             O                    O                    O                    O                    
hierarchical         O                    O                    O                    O                    
organisations        O                    O                    O                    O                    
where                O                    O                    O                    O                    
"                    O                    O                    O                    O                    
the                  O                    O                    O                    O                    
concept              O                    O                    O                    O                    
of                   O                    O                    O                    O                    
defined              O                    O                    O                    O                    
tasks                O                    O                    O                    O                    
worked               O                    O                    O                    O                    
great                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
she                  O                    O                    O                    O                    
said                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
"                    O                    O                    O                    O                    
That                 O                    O                    O                    O                    
's                   O                    O                    O                    O                    
an                   O                    O                    O                    O                    
important            O                    O                    O                    O                    
question             O                    O                    O                    O                    
we                   O                    O                    O                    O                    
used                 O                    O                    O                    O                    
to                   O                    O                    O                    O                    
ask                  O                    O                    O                    O                    
a                    O                    O                    O                    O                    
lot                  O                    O                    O                    O                    
,                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
said                 O                    O                    O                    O                    
O'Neal               B-PER                B-PER                B-PER                O                    
.                    O                    O                    O                    B-PER                
"                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
MILAN                B-LOC                B-LOC                B-PER                B-LOC                
1996-08-25           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Argentine            B-MISC               B-MISC               B-MISC               B-MISC               
striker              O                    O                    O                    O                    
Gabriel              B-PER                B-PER                B-PER                B-PER                
Batistuta            I-PER                I-PER                I-PER                I-PER                
gave                 O                    O                    O                    O                    
Fiorentina           B-ORG                B-ORG                B-ORG                B-ORG                
the                  O                    O                    O                    O                    
perfect              O                    O                    O                    O                    
70th                 O                    O                    O                    O                    
birthday             O                    O                    O                    O                    
present              O                    O                    O                    O                    
on                   O                    O                    O                    O                    
Sunday               O                    O                    O                    O                    
with                 O                    O                    O                    O                    
two                  O                    O                    O                    O                    
goals                O                    O                    O                    O                    
that                 O                    O                    O                    O                    
gave                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Italian              B-MISC               B-MISC               B-MISC               B-MISC               
Cup                  I-MISC               I-MISC               I-MISC               I-MISC               
winners              O                    O                    O                    O                    
a                    O                    O                    O                    O                    
2-1                  O                    O                    O                    O                    
Supercup             B-MISC               B-MISC               B-MISC               B-MISC               
victory              O                    O                    O                    O                    
over                 O                    O                    O                    O                    
serie                B-MISC               B-MISC               O                    B-MISC               
A                    I-MISC               I-MISC               O                    I-MISC               
champions            O                    O                    O                    O                    
Milan                B-ORG                B-ORG                B-ORG                B-ORG                
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
The                  O                    O                    O                    O                    
victory              O                    O                    O                    O                    
,                    O                    O                    O                    O                    
coming               O                    O                    O                    O                    
on                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
eve                  O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
founding             O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Florence             B-LOC                B-LOC                B-ORG                B-LOC                
club                 O                    O                    O                    O                    
in                   O                    O                    O                    O                    
1926                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
also                 O                    O                    O                    O                    
marked               O                    O                    O                    O                    
the                  O                    O                    O                    O                    
first                O                    O                    O                    O                    
time                 O                    O                    O                    O                    
since                O                    O                    O                    O                    
the                  O                    O                    O                    O                    
pre-season           O                    O                    O                    O                    
trophy               O                    O                    O                    O                    
between              O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Cup                  B-MISC               B-MISC               B-MISC               B-MISC               
winners              O                    O                    O                    O                    
and                  O                    O                    O                    O                    
league               O                    O                    O                    O                    
champions            O                    O                    O                    O                    
was                  O                    O                    O                    O                    
started              O                    O                    O                    O                    
in                   O                    O                    O                    O                    
1988                 O                    O                    O                    O                    
that                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Cup                  B-MISC               B-MISC               B-MISC               B-MISC               
winners              O                    O                    O                    O                    
had                  O                    O                    O                    O                    
won                  O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Sweden               B-LOC                B-LOC                B-LOC                B-LOC                
's                   O                    O                    O                    O                    
Stefan               B-PER                B-PER                B-PER                B-PER                
Schwarz              I-PER                I-PER                I-PER                I-PER                
picked               O                    O                    O                    O                    
him                  O                    O                    O                    O                    
out                  O                    O                    O                    O                    
with                 O                    O                    O                    O                    
a                    O                    O                    O                    O                    
lob                  O                    O                    O                    O                    
to                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
edge                 O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
box                  O                    O                    O                    O                    
and                  O                    O                    O                    O                    
Batistuta            B-PER                B-PER                B-PER                O                    
did                  O                    O                    O                    O                    
the                  O                    O                    O                    O                    
rest                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
chipping             O                    O                    O                    O                    
veteran              O                    O                    O                    O                    
defender             O                    O                    O                    O                    
Franco               B-PER                B-PER                B-PER                B-PER                
Baresi               I-PER                I-PER                I-PER                I-PER                
and                  O                    O                    O                    O                    
scoring              O                    O                    O                    O                    
at                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
near                 O                    O                    O                    O                    
post                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Milan                B-ORG                B-ORG                B-ORG                B-ORG                
's                   O                    O                    O                    O                    
player               O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
year                 O                    O                    O                    O                    
George               B-PER                B-PER                B-PER                B-PER                
Weah                 I-PER                I-PER                I-PER                I-PER                
missed               O                    O                    O                    O                    
a                    O                    O                    O                    O                    
good                 O                    O                    O                    O                    
first                O                    O                    O                    O                    
half                 O                    O                    O                    O                    
opportunity          O                    O                    O                    O                    
but                  O                    O                    O                    O                    
otherwise            O                    O                    O                    O                    
looked               O                    O                    O                    O                    
a                    O                    O                    O                    O                    
little               O                    O                    O                    O                    
rusty                O                    O                    O                    O                    
while                O                    O                    O                    O                    
Italian              B-MISC               B-MISC               B-MISC               O                    
team                 O                    O                    O                    O                    
mate                 O                    O                    O                    O                    
Roberto              B-PER                B-PER                B-PER                B-PER                
Baggio               I-PER                I-PER                I-PER                I-PER                
did                  O                    O                    O                    O                    
not                  O                    O                    O                    O                    
play                 O                    O                    O                    O                    
due                  O                    O                    O                    O                    
to                   O                    O                    O                    O                    
injury               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Police               O                    O                    O                    O                    
Commissioner         O                    O                    O                    O                    
George               B-PER                B-PER                B-PER                B-PER                
Grech                I-PER                I-PER                I-PER                I-PER                
said                 O                    O                    O                    O                    
police               O                    O                    O                    O                    
were                 O                    O                    O                    O                    
investigating        O                    O                    O                    O                    
the                  O                    O                    O                    O                    
possibility          O                    O                    O                    O                    
that                 O                    O                    O                    O                    
Mohammed             B-PER                B-PER                B-MISC               B-PER                
had                  O                    O                    O                    O                    
links                O                    O                    O                    O                    
to                   O                    O                    O                    O                    
an                   O                    O                    O                    O                    
Islamic              B-MISC               B-MISC               O                    B-MISC               
militant             O                    O                    O                    O                    
group                O                    O                    O                    O                    
as                   O                    O                    O                    O                    
reported             O                    O                    O                    O                    
by                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
local                O                    O                    O                    O                    
press                O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
SUGO                 B-LOC                B-LOC                B-ORG                B-LOC                
,                    O                    O                    O                    O                    
Japan                B-LOC                B-LOC                B-LOC                B-LOC                
1996-08-25           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
of                   O                    O                    O                    O                    
Japanese             B-MISC               B-MISC               B-LOC                B-LOC                
rider                O                    O                    O                    O                    
Noriyuki             B-PER                B-PER                B-PER                B-PER                
Haga                 I-PER                I-PER                I-PER                I-PER                
for                  O                    O                    O                    O                    
using                O                    O                    O                    O                    
an                   O                    O                    O                    O                    
illegal              O                    O                    O                    O                    
carburettor          O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
NEW                  B-LOC                B-LOC                B-ORG                B-LOC                
YORK                 I-LOC                I-LOC                I-ORG                I-LOC                
1996-08-25           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
SOCCER               O                    O                    O                    O                    
-                    O                    O                    O                    O                    
TOGO                 B-ORG                B-LOC                B-LOC                B-LOC                
BEAT                 O                    O                    O                    O                    
CONGO                B-ORG                B-LOC                B-LOC                B-LOC                
1-0                  O                    O                    O                    O                    
IN                   O                    O                    O                    O                    
AFRICA               B-MISC               B-MISC               B-MISC               B-MISC               
NATIONS              I-MISC               I-MISC               I-MISC               I-MISC               
CUP                  I-MISC               I-MISC               I-MISC               I-MISC               
QUALIFIER            O                    O                    B-LOC                O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
in                   O                    O                    O                    O                    
their                O                    O                    O                    O                    
African              B-MISC               B-MISC               B-LOC                B-MISC               
Nations              I-MISC               I-MISC               I-LOC                I-MISC               
Cup                  I-MISC               I-MISC               I-LOC                I-MISC               
preliminary          O                    O                    O                    O                    
round                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
second               O                    O                    O                    O                    
leg                  O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Scorer               O                    O                    O                    O                    
:                    O                    O                    O                    O                    
Salou                B-PER                B-PER                B-LOC                B-PER                
Bachirou             I-PER                I-PER                I-LOC                I-PER                
(                    O                    O                    O                    O                    
53rd                 O                    O                    O                    O                    
minute               O                    O                    O                    O                    
)                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
CYCLING              O                    O                    O                    O                    
-                    O                    O                    O                    O                    
FERRIGATO            B-PER                B-PER                B-PER                B-PER                
SPRINTS              O                    O                    O                    O                    
TO                   O                    O                    O                    O                    
SECOND               O                    O                    O                    O                    
STRAIGHT             O                    O                    O                    O                    
WORLD                B-MISC               B-MISC               B-MISC               O                    
CUP                  I-MISC               I-MISC               I-MISC               O                    
WIN                  O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
ZURICH               B-LOC                B-LOC                B-PER                B-LOC                
1996-08-25           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
The                  O                    O                    O                    O                    
26-year-old          O                    O                    O                    O                    
Italian              B-MISC               B-MISC               B-MISC               B-MISC               
surged               O                    O                    O                    O                    
past                 O                    O                    O                    O                    
compatriot           O                    O                    O                    O                    
Michele              B-PER                B-PER                B-PER                B-PER                
Bartoli              I-PER                I-PER                I-PER                I-PER                
and                  O                    O                    O                    O                    
last                 O                    O                    O                    O                    
year                 O                    O                    O                    O                    
's                   O                    O                    O                    O                    
winner               O                    O                    O                    O                    
and                  O                    O                    O                    O                    
defending            O                    O                    O                    O                    
World                B-MISC               B-MISC               B-MISC               O                    
Cup                  I-MISC               I-MISC               I-MISC               O                    
champion             O                    O                    O                    B-MISC               
Johan                B-PER                B-PER                B-PER                B-PER                
Museeuw              I-PER                I-PER                I-PER                I-PER                
of                   O                    O                    O                    O                    
Belgium              B-LOC                B-LOC                B-LOC                O                    
in                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
final                O                    O                    O                    O                    
few                  O                    O                    O                    O                    
metres               O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
237km                O                    O                    O                    O                    
race                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Former               O                    O                    O                    O                    
world                O                    O                    O                    O                    
champion             O                    O                    O                    O                    
Lance                B-PER                B-PER                B-PER                B-PER                
Armstrong            I-PER                I-PER                I-PER                I-PER                
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
United               B-LOC                B-LOC                B-LOC                B-LOC                
States               I-LOC                I-LOC                I-LOC                I-LOC                
was                  O                    O                    O                    O                    
in                   O                    O                    O                    O                    
front                O                    O                    O                    O                    
as                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
leading              O                    O                    O                    O                    
pack                 O                    O                    O                    O                    
of                   O                    O                    O                    O                    
seven                O                    O                    O                    O                    
riders               O                    O                    O                    O                    
turned               O                    O                    O                    O                    
