PARAMETERS: 
 
labelset: weak 
split: train 
lambda: 0 
k: 3 
fine-tune: True 
ft_max_epochs: 2 
 
 
CLS: 
 
Run 1: 
 
File: ./results/weak_cls_5.json 
 
F1: 0.5710761278195489 
 
              precision    recall  f1-score   support

         LOC       0.55      0.84      0.67      2239
SOCCER               O                    O                    O                    O                    
-                    O                    O                    O                    O                    
FIORENTINA           B-ORG                B-ORG                B-ORG                B-ORG                
WIN                  O                    O                    O                    O                    
WITH                 O                    O                    O                    O                    
BATISTUTA            B-PER                B-ORG                B-ORG                B-ORG                
DOUBLE               O                    B-ORG                B-MISC               B-ORG                
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
MILAN                B-LOC                B-LOC                B-ORG                B-LOC                
1996-08-25           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Argentine            B-MISC               B-MISC               B-MISC               B-MISC               
striker              O                    O                    O                    O                    
Gabriel              B-PER                B-PER                B-PER                B-PER                
Batistuta            I-PER                I-PER                I-PER                I-PER                
gave                 O                    O                    O                    O                    
Fiorentina           B-ORG                B-ORG                B-ORG                B-ORG                
the                  O                    O                    O                    O                    
perfect              O                    O                    O                    O                    
70th                 O                    O                    O                    O                    
birthday             O                    O                    O                    O                    
present              O                    O                    O                    O                    
on                   O                    O                    O                    O                    
Sunday               O                    O                    O                    O                    
with                 O                    O                    O                    O                    
two                  O                    O                    O                    O                    
goals                O                    O                    O                    O                    
that                 O                    O                    O                    O                    
gave                 O                    O                    O                    O                    
the                  O                    B-MISC               B-ORG                B-MISC               
Italian              B-MISC               B-MISC               B-MISC               B-MISC               
Cup                  I-MISC               I-MISC               I-MISC               I-MISC               
winners              O                    O                    O                    O                    
a                    O                    O                    O                    O                    
2-1                  O                    O                    O                    O                    
Supercup             B-MISC               B-ORG                B-ORG                B-MISC               
victory              O                    O                    O                    O                    
over                 O                    O                    O                    O                    
serie                B-MISC               O                    O                    O                    
A                    I-MISC               O                    O                    O                    
champions            O                    O                    O                    O                    
Milan                B-ORG                B-LOC                B-LOC                B-LOC                
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Montenegrin          B-MISC               B-PER                B-PER                B-MISC               
midfielder           O                    O                    O                    O                    
Dejan                B-PER                B-PER                B-PER                B-PER                
Savicevic            I-PER                I-PER                I-PER                I-PER                
equalised            O                    O                    O                    O                    
for                  O                    O                    O                    O                    
the                  O                    O                    O                    O                    
home                 O                    O                    O                    O                    
team                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
weaving              O                    O                    O                    O                    
past                 O                    O                    O                    O                    
a                    O                    O                    O                    O                    
defender             O                    O                    O                    O                    
,                    O                    O                    O                    O                    
checking             O                    O                    O                    O                    
and                  O                    O                    O                    O                    
firing               O                    O                    O                    O                    
in                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
left-footed          O                    O                    O                    O                    
shot                 O                    O                    O                    O                    
in                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
21st                 O                    O                    O                    O                    
minute               O                    O                    O                    O                    
that                 O                    O                    O                    O                    
gave                 O                    O                    O                    O                    
young                O                    O                    O                    O                    
Fiorentina           B-ORG                B-ORG                B-ORG                B-ORG                
goalkeeper           O                    O                    O                    O                    
Francesco            B-PER                B-PER                B-PER                B-PER                
Toldo                I-PER                I-PER                I-PER                I-PER                
little               O                    O                    O                    O                    
chance               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
The                  O                    O                    O                    O                    
83rd                 O                    O                    O                    O                    
minute               O                    O                    O                    O                    
shot                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
curling              O                    O                    O                    O                    
over                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
defence              O                    O                    O                    O                    
and                  O                    O                    O                    O                    
dipping              O                    O                    O                    O                    
in                   O                    O                    O                    O                    
under                O                    O                    O                    O                    
the                  O                    O                    O                    O                    
bar                  O                    O                    O                    O                    
from                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
striker              O                    O                    O                    O                    
dubbed               O                    O                    O                    O                    
Batigol              B-PER                B-MISC               B-ORG                B-ORG                
by                   O                    O                    O                    O                    
adoring              O                    O                    O                    O                    
Fiorentina           B-ORG                B-ORG                B-ORG                B-ORG                
fans                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
was                  O                    O                    O                    O                    
just                 O                    O                    O                    O                    
reward               O                    O                    O                    O                    
for                  O                    O                    O                    O                    
Fiorentina           B-ORG                B-ORG                B-ORG                B-ORG                
who                  O                    O                    O                    O                    
looked               O                    O                    O                    O                    
a                    O                    O                    O                    O                    
far                  O                    O                    O                    O                    
more                 O                    O                    O                    O                    
impressive           O                    O                    O                    O                    
team                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Milan                B-ORG                B-LOC                B-LOC                B-LOC                
's                   O                    O                    O                    O                    
player               O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
year                 O                    O                    O                    O                    
George               B-PER                B-PER                B-PER                B-PER                
Weah                 I-PER                I-PER                I-PER                I-PER                
missed               O                    O                    O                    O                    
a                    O                    O                    O                    O                    
good                 O                    O                    O                    O                    
first                O                    O                    O                    O                    
half                 O                    O                    O                    O                    
opportunity          O                    O                    O                    O                    
but                  O                    B-ORG                B-ORG                B-ORG                
otherwise            O                    O                    O                    O                    
looked               O                    O                    O                    O                    
a                    O                    O                    O                    O                    
little               O                    O                    O                    O                    
rusty                O                    O                    O                    O                    
while                O                    O                    O                    O                    
Italian              B-MISC               B-MISC               B-MISC               B-ORG                
team                 O                    O                    O                    O                    
mate                 O                    O                    O                    O                    
Roberto              B-PER                B-PER                B-PER                B-PER                
Baggio               I-PER                I-PER                I-PER                I-PER                
did                  O                    O                    O                    O                    
not                  O                    O                    O                    O                    
play                 O                    O                    O                    O                    
due                  O                    O                    O                    O                    
to                   O                    O                    O                    O                    
injury               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
New                  O                    B-MISC               B-MISC               B-MISC               
Dutch                B-MISC               B-ORG                B-MISC               B-MISC               
signing              O                    O                    O                    O                    
Edgar                B-PER                B-PER                B-PER                B-PER                
Davids               I-PER                I-PER                I-PER                I-PER                
came                 O                    O                    O                    O                    
on                   O                    O                    O                    O                    
late                 O                    O                    O                    O                    
in                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
second               O                    O                    O                    O                    
half                 O                    O                    O                    O                    
as                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
Milan                B-ORG                B-LOC                B-LOC                B-LOC                
substitute           O                    O                    O                    O                    
but                  O                    B-ORG                B-ORG                B-ORG                
made                 O                    O                    O                    O                    
little               O                    O                    O                    O                    
impact               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
1.                   O                    O                    O                    O                    
Yuuchi               B-PER                B-MISC               B-PER                B-PER                
Takeda               I-PER                I-MISC               I-PER                I-PER                
(                    O                    O                    O                    O                    
Japan                B-LOC                B-LOC                B-LOC                B-LOC                
)                    O                    O                    O                    O                    
Honda                B-ORG                B-ORG                B-ORG                B-ORG                
38                   O                    O                    O                    O                    
minutes              O                    O                    O                    O                    
30.054               O                    O                    O                    O                    
seconds              O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
9.                   O                    O                    O                    O                    
Akira                B-PER                B-PER                B-ORG                B-PER                
Ryo                  I-PER                I-PER                I-ORG                I-PER                
(                    O                    O                    O                    O                    
Japan                B-LOC                B-LOC                B-LOC                B-LOC                
)                    O                    O                    O                    O                    
Kawasaki             B-ORG                B-LOC                B-LOC                B-LOC                
38:50.269            O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Fastest              O                    O                    O                    O                    
lap                  O                    O                    O                    O                    
:                    O                    O                    O                    O                    
Haga                 B-PER                B-PER                B-ORG                B-PER                
147.159              O                    O                    O                    O                    
kph                  O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
of                   O                    O                    O                    O                    
Japanese             B-MISC               B-MISC               B-LOC                B-LOC                
rider                O                    O                    O                    O                    
Noriyuki             B-PER                B-PER                B-PER                B-PER                
Haga                 I-PER                I-PER                I-PER                I-PER                
for                  O                    O                    O                    O                    
using                O                    O                    O                    O                    
an                   O                    O                    O                    O                    
illegal              O                    O                    O                    O                    
carburettor          O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
5.                   O                    O                    O                    O                    
Fujiwara             B-PER                B-PER                B-ORG                B-PER                
38:33.595            O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
9.                   O                    O                    O                    O                    
Corser               B-PER                B-PER                B-PER                B-ORG                
38:42.015            O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Fastest              O                    B-MISC               B-ORG                B-PER                
lap                  O                    O                    O                    O                    
:                    O                    O                    O                    O                    
Aoki                 B-PER                B-PER                B-PER                B-PER                
147.786              O                    I-PER                I-PER                I-PER                
kph                  O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
American             B-MISC               B-MISC               B-LOC                B-LOC                
League               I-MISC               O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
SOCCER               O                    O                    O                    O                    
-                    O                    O                    O                    O                    
TOGO                 B-ORG                B-ORG                B-ORG                B-ORG                
BEAT                 O                    B-ORG                B-ORG                B-ORG                
