PARAMETERS: 
 
labelset: original 
split: train 
lambda: 0 
k: 3 
 
 
CLS: 
 
Run 1: 
 
File: ./results/original_cls_4.json 
 
F1: 0.8215968261839821 
 
              precision    recall  f1-score   support

         LOC       0.78      0.80      0.79      2239
in                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
second               O                    O                    O                    O                    
half                 O                    O                    O                    O                    
as                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
Milan                B-ORG                B-ORG                B-ORG                B-ORG                
substitute           O                    O                    O                    O                    
but                  O                    O                    O                    O                    
made                 O                    O                    O                    O                    
little               O                    O                    O                    O                    
impact               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
They                 O                    O                    O                    O                    
said                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
body                 O                    O                    O                    O                    
of                   O                    O                    O                    O                    
Amer                 B-PER                B-PER                B-PER                B-PER                
Hishem               I-PER                I-PER                I-PER                I-PER                
Ali                  I-PER                I-PER                I-PER                I-PER                
Mohammed             I-PER                I-PER                I-PER                I-PER                
,                    O                    O                    O                    O                    
23                   O                    O                    O                    O                    
,                    O                    O                    O                    O                    
was                  O                    O                    O                    O                    
found                O                    O                    O                    O                    
in                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
pool                 O                    O                    O                    O                    
of                   O                    O                    O                    O                    
blood                O                    O                    O                    O                    
in                   O                    O                    O                    O                    
Sliema               B-LOC                B-LOC                B-LOC                B-LOC                
,                    O                    O                    O                    O                    
seven                O                    O                    O                    O                    
km                   O                    O                    O                    O                    
(                    O                    O                    O                    O                    
four                 O                    O                    O                    O                    
miles                O                    O                    O                    O                    
)                    O                    O                    O                    O                    
from                 O                    O                    O                    O                    
Valletta             B-LOC                B-LOC                B-MISC               B-LOC                
,                    O                    O                    O                    O                    
on                   O                    O                    O                    O                    
Wednesday            O                    O                    O                    O                    
morning              O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Police               O                    O                    O                    O                    
Commissioner         O                    O                    O                    O                    
George               B-PER                B-PER                B-PER                B-PER                
Grech                I-PER                I-PER                I-PER                I-PER                
said                 O                    O                    O                    O                    
police               O                    O                    O                    O                    
were                 O                    O                    O                    O                    
investigating        O                    O                    O                    O                    
the                  O                    O                    O                    O                    
possibility          O                    O                    O                    O                    
that                 O                    O                    O                    O                    
Mohammed             B-PER                B-PER                B-MISC               B-PER                
had                  O                    O                    O                    O                    
links                O                    O                    O                    O                    
to                   O                    O                    O                    O                    
an                   O                    O                    O                    O                    
Islamic              B-MISC               B-MISC               B-LOC                B-MISC               
militant             O                    O                    O                    O                    
group                O                    O                    O                    O                    
as                   O                    O                    O                    O                    
reported             O                    O                    O                    O                    
by                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
local                O                    O                    O                    O                    
press                O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
SUGO                 B-LOC                B-LOC                B-PER                B-LOC                
,                    O                    O                    O                    O                    
Japan                B-LOC                B-LOC                B-LOC                B-LOC                
1996-08-25           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
of                   O                    O                    O                    O                    
Japanese             B-MISC               B-MISC               B-LOC                B-LOC                
rider                O                    O                    O                    O                    
Noriyuki             B-PER                B-PER                B-PER                B-PER                
Haga                 I-PER                I-PER                I-PER                I-PER                
for                  O                    O                    O                    O                    
using                O                    O                    O                    O                    
an                   O                    O                    O                    O                    
illegal              O                    O                    O                    O                    
carburettor          O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
10.                  O                    O                    O                    O                    
Keiichi              B-PER                B-PER                B-PER                B-PER                
Kitigawa             I-PER                I-PER                I-PER                I-PER                
(                    O                    O                    O                    O                    
Japan                B-LOC                B-LOC                B-LOC                B-LOC                
)                    O                    O                    O                    O                    
Suzuki               B-ORG                B-ORG                B-PER                B-ORG                
38:42.333            O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
BASEBALL             O                    O                    O                    O                    
-                    O                    O                    O                    O                    
MAJOR                B-MISC               B-MISC               B-ORG                B-ORG                
LEAGUE               I-MISC               I-MISC               I-ORG                I-ORG                
RESULTS              O                    O                    O                    O                    
SUNDAY               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
NEW                  B-LOC                B-LOC                B-ORG                B-ORG                
YORK                 I-LOC                I-LOC                I-ORG                I-ORG                
1996-08-25           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
American             B-MISC               B-MISC               B-ORG                B-ORG                
League               I-MISC               I-MISC               I-ORG                I-ORG                

 
Token                Clean                Original             CLS                  SUM                  
 
SOCCER               O                    O                    O                    O                    
-                    O                    O                    O                    O                    
TOGO                 B-ORG                B-LOC                B-LOC                B-LOC                
BEAT                 O                    O                    O                    O                    
CONGO                B-ORG                B-LOC                B-LOC                B-LOC                
1-0                  O                    O                    O                    O                    
IN                   O                    O                    O                    O                    
AFRICA               B-MISC               B-MISC               B-LOC                B-LOC                
NATIONS              I-MISC               I-MISC               I-LOC                I-LOC                
CUP                  I-MISC               I-MISC               I-LOC                I-LOC                
QUALIFIER            O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
in                   O                    O                    O                    O                    
their                O                    O                    O                    O                    
African              B-MISC               B-MISC               B-LOC                B-LOC                
Nations              I-MISC               I-MISC               I-LOC                I-LOC                
Cup                  I-MISC               I-MISC               I-LOC                I-LOC                
